;iso2;year;new_sp
4423;RU;1980;0.0
4424;RU;1981;0.0
4425;RU;1982;0.0
4426;RU;1983;0.0
4427;RU;1984;0.0
4428;RU;1985;0.0
4429;RU;1986;0.0
4430;RU;1987;0.0
4431;RU;1988;0.0
4432;RU;1989;0.0
4433;RU;1990;0.0
4434;RU;1991;0.0
4435;RU;1992;0.0
4436;RU;1993;0.0
4437;RU;1994;30389.0
4438;RU;1995;37512.0
4439;RU;1996;42534.0
4440;RU;1997;42094.0
4441;RU;1998;42219.0
4442;RU;1999;21744.0
4443;RU;2000;27467.0
4444;RU;2001;26605.0
4445;RU;2002;27865.0
4446;RU;2003;28868.0
4447;RU;2004;30890.0
4448;RU;2005;32605.0
4449;RU;2006;32335.0
4450;RU;2007;33103.0
4451;RU;2008;33949.0
