;iso2;year;new_sp
1324;DE;1980;0.0
1325;DE;1981;0.0
1326;DE;1982;0.0
1327;DE;1983;0.0
1328;DE;1984;0.0
1329;DE;1985;0.0
1330;DE;1986;0.0
1331;DE;1987;0.0
1332;DE;1988;0.0
1333;DE;1989;0.0
1334;DE;1990;0.0
1335;DE;1991;0.0
1336;DE;1992;0.0
1337;DE;1993;4730.0
1338;DE;1994;4177.0
1339;DE;1995;3852.0
1340;DE;1996;3689.0
1341;DE;1997;3346.0
1342;DE;1998;3124.0
1343;DE;1999;2918.0
1344;DE;2000;0.0
1345;DE;2001;1935.0
1346;DE;2002;1868.0
1347;DE;2003;1679.0
1348;DE;2004;1562.0
1349;DE;2005;1379.0
1350;DE;2006;1303.0
1351;DE;2007;1183.0
1352;DE;2008;954.0
